,Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_min,EC_max,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
53.00,RF-H,intersection_union_distance,5.00,50.00,0.51,0.01,0.62,0.18,0.00,3.47,0.00,0.01,0.06,0.18,0.88,1.75,2.65,0.45,0.00,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.01
54.00,RF,ratio,5.00,50.00,0.69,0.05,0.15,0.76,0.00,1.00,0.00,0.16,0.52,0.76,0.90,1.00,1.00,0.44,0.01,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.02
55.00,RF,ratio-diff,5.00,50.00,0.22,0.04,0.13,0.13,0.00,1.00,0.00,0.00,0.05,0.13,0.32,0.72,1.00,0.44,0.01,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.02
56.00,RF,ratio-signed,5.00,50.00,0.64,0.06,0.23,0.76,-1.00,1.00,-0.71,-0.09,0.50,0.76,0.90,1.00,1.00,0.44,0.01,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.02
57.00,RF,ratio-diff-signed,5.00,50.00,0.15,0.03,0.09,0.11,-0.98,0.98,-0.75,-0.08,0.03,0.11,0.25,0.60,0.82,0.44,0.01,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.02
58.00,RF,intersection_union_sample,5.00,50.00,0.35,0.03,0.35,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.76,0.97,1.00,0.44,0.01,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.02
59.00,RF,intersection_union_all,5.00,50.00,0.26,NA,0.01,0.26,0.24,0.34,0.24,0.25,0.26,0.26,0.26,0.27,0.32,0.44,0.01,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.02
60.00,RF,negative_incon,5.00,50.00,0.15,0.03,0.54,0.00,-0.50,1.00,-0.50,-0.49,-0.43,0.00,0.76,0.97,1.00,0.44,0.01,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.02
61.00,RF,positive_incon,5.00,50.00,0.65,0.01,0.58,0.46,0.00,4.44,0.01,0.03,0.18,0.46,0.98,1.79,2.70,0.44,0.01,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.02
62.00,RF,intersection_union_distance,5.00,50.00,0.52,0.01,0.60,0.21,0.00,4.44,0.00,0.01,0.07,0.21,0.84,1.75,2.70,0.44,0.01,0.08,0.00,0.33,0.01,0.57,0.01,0.50,0.02
63.00,Knn-H,ratio,5.00,50.00,0.82,0.03,0.13,0.92,0.00,1.00,0.00,0.00,0.80,0.92,0.98,1.00,1.00,0.44,0.01,0.08,0.00,0.34,0.01,0.59,0.01,0.47,0.01
64.00,Knn-H,ratio-diff,5.00,50.00,0.14,0.03,0.13,0.04,0.00,1.00,0.00,0.00,0.01,0.04,0.11,1.00,1.00,0.44,0.01,0.08,0.00,0.34,0.01,0.59,0.01,0.47,0.01
65.00,Knn-H,ratio-signed,5.00,50.00,0.81,0.04,0.17,0.92,-1.00,1.00,-0.18,0.00,0.80,0.92,0.98,1.00,1.00,0.44,0.01,0.08,0.00,0.34,0.01,0.59,0.01,0.47,0.01
66.00,Knn-H,ratio-diff-signed,5.00,50.00,0.06,0.01,0.06,0.03,-1.00,1.00,-0.42,0.00,0.00,0.03,0.08,0.25,0.60,0.44,0.01,0.08,0.00,0.34,0.01,0.59,0.01,0.47,0.01
67.00,Knn-H,intersection_union_sample,5.00,50.00,0.50,0.02,0.40,0.74,0.00,1.00,0.00,0.00,0.00,0.74,0.96,1.00,1.00,0.44,0.01,0.08,0.00,0.34,0.01,0.59,0.01,0.47,0.01
68.00,Knn-H,intersection_union_all,5.00,50.00,0.31,NA,0.01,0.31,0.29,0.37,0.29,0.30,0.30,0.31,0.31,0.32,0.35,0.44,0.01,0.08,0.00,0.34,0.01,0.59,0.01,0.47,0.01
69.00,Knn-H,negative_incon,5.00,50.00,0.33,0.02,0.62,0.74,-0.50,1.00,-0.50,-0.50,-0.46,0.74,0.96,1.00,1.00,0.44,0.01,0.08,0.00,0.34,0.01,0.59,0.01,0.47,0.01
70.00,Knn-H,positive_incon,5.00,50.00,0.63,0.01,0.63,0.45,0.00,3.95,0.00,0.00,0.17,0.45,0.95,1.91,2.98,0.44,0.01,0.08,0.00,0.34,0.01,0.59,0.01,0.47,0.01
71.00,Knn-H,intersection_union_distance,5.00,50.00,0.46,0.01,0.66,0.09,0.00,3.95,0.00,0.00,0.02,0.09,0.75,1.80,2.98,0.44,0.01,0.08,0.00,0.34,0.01,0.59,0.01,0.47,0.01
72.00,Knn,ratio,5.00,50.00,0.75,0.05,0.15,1.00,0.00,1.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.51,0.01,0.09,0.00,0.44,0.01,0.66,0.01,0.33,0.02
73.00,Knn,ratio-diff,5.00,50.00,0.21,0.04,0.15,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.33,1.00,1.00,0.51,0.01,0.09,0.00,0.44,0.01,0.66,0.01,0.33,0.02
74.00,Knn,ratio-signed,5.00,50.00,0.71,0.05,0.20,0.93,-1.00,1.00,-1.00,0.00,0.50,0.93,1.00,1.00,1.00,0.51,0.01,0.09,0.00,0.44,0.01,0.66,0.01,0.33,0.02
75.00,Knn,ratio-diff-signed,5.00,50.00,0.09,0.02,0.07,0.00,-0.67,0.80,0.00,0.00,0.00,0.00,0.14,0.33,0.50,0.51,0.01,0.09,0.00,0.44,0.01,0.66,0.01,0.33,0.02
76.00,Knn,intersection_union_sample,5.00,50.00,0.42,0.03,0.38,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.51,0.01,0.09,0.00,0.44,0.01,0.66,0.01,0.33,0.02
77.00,Knn,intersection_union_all,5.00,50.00,0.28,NA,0.01,0.28,0.26,0.37,0.26,0.27,0.28,0.28,0.29,0.30,0.35,0.51,0.01,0.09,0.00,0.44,0.01,0.66,0.01,0.33,0.02
78.00,Knn,negative_incon,5.00,50.00,0.24,0.03,0.57,0.00,-0.50,1.00,-0.50,-0.50,-0.43,0.00,1.00,1.00,1.00,0.51,0.01,0.09,0.00,0.44,0.01,0.66,0.01,0.33,0.02
79.00,Knn,positive_incon,5.00,50.00,0.73,0.01,0.65,0.60,0.00,4.40,0.00,0.00,0.20,0.60,1.00,2.00,2.80,0.51,0.01,0.09,0.00,0.44,0.01,0.66,0.01,0.33,0.02
80.00,Knn,intersection_union_distance,5.00,50.00,0.57,0.02,0.67,0.20,0.00,4.40,0.00,0.00,0.00,0.20,0.80,2.00,2.80,0.51,0.01,0.09,0.00,0.44,0.01,0.66,0.01,0.33,0.02
81.00,SVR-H,ratio,5.00,50.00,0.87,0.03,0.12,0.93,0.00,1.00,0.14,0.49,0.84,0.93,0.97,1.00,1.00,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
82.00,SVR-H,ratio-diff,5.00,50.00,0.08,0.02,0.10,0.04,0.00,1.00,0.00,0.00,0.01,0.04,0.08,0.34,0.75,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
83.00,SVR-H,ratio-signed,5.00,50.00,0.86,0.04,0.17,0.93,-1.00,1.00,-0.18,0.46,0.84,0.93,0.97,1.00,1.00,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
84.00,SVR-H,ratio-diff-signed,5.00,50.00,0.07,0.02,0.07,0.03,-1.00,1.00,-0.32,0.00,0.01,0.03,0.08,0.30,0.65,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
85.00,SVR-H,intersection_union_sample,5.00,50.00,0.46,0.02,0.44,0.56,0.00,1.00,0.00,0.00,0.00,0.56,0.93,0.99,1.00,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
86.00,SVR-H,intersection_union_all,5.00,50.00,0.30,NA,0.01,0.30,0.28,0.34,0.28,0.29,0.29,0.30,0.31,0.32,0.33,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
87.00,SVR-H,negative_incon,5.00,50.00,0.25,0.02,0.66,0.56,-0.50,1.00,-0.50,-0.50,-0.48,0.56,0.93,0.99,1.00,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
88.00,SVR-H,positive_incon,5.00,50.00,0.76,0.01,0.66,0.55,0.00,3.74,0.02,0.07,0.25,0.55,1.10,2.07,2.79,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
89.00,SVR-H,intersection_union_distance,5.00,50.00,0.54,0.01,0.73,0.09,0.00,3.74,0.00,0.00,0.03,0.09,0.99,2.04,2.79,0.51,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
90.00,SVR,ratio,5.00,50.00,0.75,0.05,0.16,0.84,0.00,1.00,0.05,0.20,0.64,0.84,0.94,1.00,1.00,0.46,0.00,0.08,0.00,0.36,0.01,0.60,0.01,0.45,0.01
91.00,SVR,ratio-diff,5.00,50.00,0.17,0.03,0.13,0.09,0.00,1.00,0.00,0.00,0.03,0.09,0.22,0.66,0.91,0.46,0.00,0.08,0.00,0.36,0.01,0.60,0.01,0.45,0.01
92.00,SVR,ratio-signed,5.00,50.00,0.70,0.06,0.26,0.84,-1.00,1.00,-0.77,-0.14,0.61,0.84,0.94,1.00,1.00,0.46,0.00,0.08,0.00,0.36,0.01,0.60,0.01,0.45,0.01
93.00,SVR,ratio-diff-signed,5.00,50.00,0.11,0.02,0.08,0.07,-1.00,1.00,-0.82,-0.20,0.02,0.07,0.18,0.56,0.85,0.46,0.00,0.08,0.00,0.36,0.01,0.60,0.01,0.45,0.01
94.00,SVR,intersection_union_sample,5.00,50.00,0.35,0.03,0.38,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.81,0.98,1.00,0.46,0.00,0.08,0.00,0.36,0.01,0.60,0.01,0.45,0.01
95.00,SVR,intersection_union_all,5.00,50.00,0.25,NA,0.01,0.25,0.23,0.31,0.23,0.24,0.24,0.25,0.25,0.26,0.29,0.46,0.00,0.08,0.00,0.36,0.01,0.60,0.01,0.45,0.01
96.00,SVR,negative_incon,5.00,50.00,0.14,0.03,0.58,-0.16,-0.50,1.00,-0.50,-0.50,-0.46,-0.16,0.81,0.98,1.00,0.46,0.00,0.08,0.00,0.36,0.01,0.60,0.01,0.45,0.01
97.00,SVR,positive_incon,5.00,50.00,0.70,0.01,0.66,0.48,0.00,3.68,0.01,0.04,0.16,0.48,1.08,1.99,2.97,0.46,0.00,0.08,0.00,0.36,0.01,0.60,0.01,0.45,0.01
98.00,SVR,intersection_union_distance,5.00,50.00,0.55,0.01,0.70,0.17,0.00,3.68,0.00,0.01,0.06,0.17,0.94,1.97,2.97,0.46,0.00,0.08,0.00,0.36,0.01,0.60,0.01,0.45,0.01
